dtc, description

DTC Codes - P0100-P0199 – Fuel and Air Metering

P0100,Mass or Volume Air Flow Circuit Malfunction
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem
P0102,Mass or Volume Air Flow Circuit Low Input
P0103,Mass or Volume Air Flow Circuit High Input
P0104,Mass or Volume Air Flow Circuit Intermittent
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
P0109,Intake Air Temperature Circuit Malfunction
P0111,Intake Air Temperature Circuit Range/Performance Problem
P0112,Intake Air Temperature Circuit Low Input
P0113,Intake Air Temperature Circuit High Input
P0114,Intake Air Temperature Circuit Intermittent
P0115,Engine Coolant Temperature Circuit Malfunction
P0116,Engine Coolant Temperature Circuit Range/Performance Problem
P0117,Engine Coolant Temperature Circuit Low Input
P0118,Engine Coolant Temperature Circuit High Input
P0119,Engine Coolant Temperature Circuit Intermittent
P0120,Throttle/Petal Position Sensor/Switch A Circuit Malfunction
P0121,Throttle/Petal Position Sensor/Switch A Circuit Range/Performance Problem
P0122,Throttle/Petal Position Sensor/Switch A Circuit Low Input
P0123,Throttle/Petal Position Sensor/Switch A Circuit High Input
P0124,Throttle/Petal Position Sensor/Switch A Circuit Intermittent
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control
P0126,Insufficient Coolant Temperature for Stable Operation
P0130,02 Sensor Circuit Malfunction (Bank I Sensor 1)
P0131,02 Sensor Circuit Low Voltage (Bank I Sensor I)
P0132,02 Sensor Circuit High Voltage (Bank I Sensor 1)
P0133,02 Sensor Circuit Slow Response (Bank 1 Sensor 1)
P0134,02 Sensor Circuit No Activity Detected (Bank I Sensor 1)
P0135,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
P0136,02 Sensor Circuit Malfunction (Bank I Sensor 2)
P0137,02 Sensor Circuit Low Voltage (Bank I Sensor 2)
P0138,02 Sensor Circuit High Voltage (Bank I Sensor 2)
P0139,02 Sensor Circuit Slow Response (Bank 1 Sensor 2)
P0140,02 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
P0141,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
P0142,02 Sensor Circuit Malfunction (Bank I Sensor 3)
P0143,02 Sensor Circuit Low Voltage (Bank I Sensor 3)
P0144,02 Sensor Circuit High Voltage (Bank I Sensor 3)
P0145,02 Sensor Circuit Slow Response (Bank 1 Sensor 3)
P0146,02 Sensor Circuit No Activity Detected (Bank I Sensor 3)
P0147,02 Sensor Heater Circuit Malfunction (Bank I Sensor 3)
P0150,02 Sensor Circuit Malfunction (Bank 2 Sensor I)
P0151,02 Sensor Circuit Low Voltage (Bank 2 Sensor I)
P0152,02 Sensor Circuit High Voltage (Bank 2 Sensor 1)
P0153,02 Sensor Circuit Slow Response (Bank 2 Sensor 1)
P0154,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
P0155,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
